Respondent ID,How many years of experience do you have in OSS projects?,"On average, how many issues/PRs do you submit to OSS projects each month?","When opening an issue/PR to OSS projects,  do you follow the template?","Based on your experience, how much do you agree with the following statements about the usefulness of issue/PR templates?",,,,,,,,"From the contributors perspective, what are the challenges of using the issue/PR template feature on GitHub?","To better support your tasks as an OSS contributor, what improvements would you like to see for the issue/PR template feature on GitHub?",Do you have anything else to tell us about issue/PR templates on GitHub?,
,Response,Response,Response,"collect more relevant information (e.g., software version and stack trace)",standardize issue/PR description,"explain project guidelines (e.g., adding tests)",guide contributors to more easily submit issues/PRs,lead contributors to submit high-quality issues/PRs,"warn about common problems (e.g., submitting duplicates)","discourage undesired submissions (e.g., opening an issue to ask questions)","If any, please describe other benefits that issue/PR templates can bring:",Open-Ended Response,Open-Ended Response,Open-Ended Response,
13373750985,3-5 years,< 3,Often,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,Sometimes the format is a bit too stringent,It works quite well as it is,,
13368562915,3-5 years,< 3,Sometimes,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Standardises ways of filling issues and knowing what to look for when adding information.,PR templates are probably not that useful in most projects I've seen because fixes are often small and the boilerplate of a template makes it more time consuming for no good reason.,,"I'd recommend separating the questions from issues and PRs because while I agree templates are excellent ofr issues, they're not always that great for PRs.",
13367996880,3-5 years,3~10,Often,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,,,,,
13366510892,1-3 years,< 3,Often,Very agree,Agree,Agree,Agree,Agree,Very agree,Very agree,,,,,
13366423132,3-5 years,3~10,Often,Agree,Agree,Very agree,Very agree,Neither agree or disagree,Neither agree or disagree,Agree,,I don't face any issues with issue/PR template. ,"It would be great if guidelines to create pull requests/issues could be separated out in its own read-only box. Currently, the guidelines are written in the form of [HTML-style] comments which make the template harder to read/navigate.","Nope. It quite helpful, actually",
13365316538,5-10 years,< 3,Often,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,,I don't see any major challenge here. I only see an advantage to follow some rules for creating an issue.,No such ones for now.,No for now.,
13365080521,>10 years,3~10,Sometimes,Very agree,Very agree,Very agree,Agree,Agree,Neither agree or disagree,Agree,,All problems are not fit for a one size fits all template.,"Ability to use the template, but not be forced to use one.  Ability for github to offer templates to repository maintainers based on recurring questions asked to issue/PR contributors",It's a good tool that should be used more but should not be forced on the issue/PR creator.,
13364996209,3-5 years,< 3,Often,Agree,Agree,Disagree,Neither agree or disagree,,,,,,,,
13364969590,5-10 years,< 3,Often,Very agree,Very agree,Disagree,Agree,Agree,Agree,Agree,,,,,
