Respondent ID,How many years of experience do you have in OSS projects?,"On average, how many new issues/PRs does the project you mainly maintain receive each month?",How many of the issues/PRs submitted to the project you mainly maintain followed the template?,"Based on your experience, how much do you agree with the following statements about the usefulness of issue/PR templates?",,,,,,,,"From the maintainers perspective, what are the challenges of using the issue/PR template feature on GitHub?","To better support your tasks as an OSS maintainer, what improvements would you like to see for the issue/PR template feature on GitHub?",Do you have anything else to tell us about issue/PR templates on GitHub?
,Response,Response,Response,"collect more relevant information (e.g., software version and stack trace)",standardize issue/PR description,"explain project guidelines (e.g., adding tests)",guide contributors to more easily submit issues/PRs,lead contributors to submit high-quality issues/PRs,"warn about common problems (e.g., submitting duplicates)","discourage undesired submissions (e.g., opening an issue to ask questions)","If any, please describe other benefits that issue/PR templates can bring:",Open-Ended Response,Open-Ended Response,Open-Ended Response
13374412282,>10 years,100~200,Many,Very agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Very disagree,Agree,,Too complicated template can prevent new contributors,Allow maintainer to see number of people that opened the template but did not finish filling it in (completion percentage),
13366058383,< 1 year,< 50,Few,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,Very agree,,Finding the balance between maximum an information and easiness for the PR maker.,Seriously I don't know.,Recently I didn't use them. We've created our own a time ago.
13364514243,3-5 years,< 50,Many,Very agree,Very agree,Very agree,Very agree,Very agree,Agree,Disagree,,,,
13364473474,5-10 years,< 50,Few,Very agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,,,,
13364434160,>10 years,< 50,Many,Agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Less cognitive burden in trying to understand what openers are asking by sharing a common format.,,"I'd like people to actually fill them out. In Microsoft ONNX runtime, often times you just see the section ""Motivation and Context - Why is this change required? What problem does it solve?"" left empty. They leave the question in there but don't actually answer it -_-. At least either delete the question or answer. It would be nice if there was a warning when they tried to submit their PR.","The biggest problems with PR's aren't the templates but rather the user interface. In large PR's, it's very hard to find files and understand their relationship without the directory tree on the left (like ADO has). It's also near impossible to find old comments without a comment tab listing them all. Additionally GitHub doesn't show more than a few lines before and after the change, instead of showing at least a dozen lines before and after (or better yet, the whole file diff, like ADO)."
13356116814,5-10 years,< 50,All,Agree,Neither agree or disagree,,Very agree,Neither agree or disagree,Very agree,Disagree,,Fielding spam issues.,"Better call on the community to help manage and triage issues, especially with large projects.",None.
13352016508,5-10 years,100~200,Moderate,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Users don't fucking read anything.  ,Actual forms.  ,
13351733545,>10 years,< 50,Moderate,Neither agree or disagree,Agree,Agree,Very disagree,Neither agree or disagree,Very disagree,Disagree,,They often make the issue body longer than if written by hand,"(should be) Submitter is presented with a choice of multiple templates, including an empty ""Other"", but cannot break the preset sections if they choose one.",
13351590473,5-10 years,< 50,Many,Agree,Very agree,Neither agree or disagree,Very disagree,Neither agree or disagree,Agree,Agree,,"The main challenge is deciding how much information to ask for. Too much, and contributors will opt to not make issues due to how hard it is to fill it out. Too little, and maintainers will need to follow-up for extra details on almost every issue.",,
13351548390,>10 years,100~200,Moderate,Very agree,Agree,Agree,Agree,Very agree,Agree,Very disagree,,makes simple reports more tedious. Can be off-putting.,,
13351379594,>10 years,< 50,Moderate,Very agree,Agree,Agree,Very agree,Agree,Neither agree or disagree,Neither agree or disagree,,,,
