"id","full_name","created_at","description","language","issue_tmp_adoption_time","issue_tmp_adoption_sha","pr_tmp_adoption_time","pr_tmp_adoption_sha"
"3282","preservim/nerdtree","2008-03-10T07:34:08Z","A tree explorer plugin for vim.","Vim script","2017-03-29T23:27:04Z","97d2d70f6c548ed797b47e4e49c37ab8295fdfd6","2019-06-27T13:28:45Z","347a58b0b0276958ccc5b2e7cf8edd9c9923906c"
"8514","rails/rails","2008-04-11T02:19:47Z","Ruby on Rails","Ruby","2016-02-19T03:04:00Z","cd3d89f99422af77fdc96bbd978e40685cb30179","2016-02-19T03:04:00Z","cd3d89f99422af77fdc96bbd978e40685cb30179"
"65252","jekyll/jekyll","2008-10-20T06:29:03Z",":globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby","Ruby","2016-02-17T18:27:18Z","2bd0d062e11ee2b6bc4187fc00dec7f47f731515","2018-09-25T00:34:32Z","d83d3e880ebb0da38dc117e1e3f308a40d607b36"
"84009","jasmine/jasmine","2008-12-02T23:46:37Z","Simple JavaScript testing framework for browsers and node.js","JavaScript","2016-09-17T01:26:11Z","ed31b9b844d84f8b67d7abb4701f69370ab1d96a","2017-07-23T00:34:58Z","4cce7263c40037ff6fdf49923fc5274e35ba38c2"
"156018","redis/redis","2009-03-21T22:32:25Z","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.","C","2020-07-17T02:01:27Z","a25df9dee0455ce3e072e6dd729736504bdad232","",""
"167174","jquery/jquery","2009-04-03T15:20:14Z","jQuery JavaScript Library","JavaScript","2016-04-23T03:09:23Z","84427591ccffe686f158ce81e5c6ba6694f7da50","2016-04-23T03:09:23Z","84427591ccffe686f158ce81e5c6ba6694f7da50"
"184460","celery/celery","2009-04-24T11:31:24Z","Distributed Task Queue (development branch)","Python","2019-01-08T22:59:16Z","c98e591b5489669e8d621fdbf8b76ad5153a5601","2016-10-25T04:43:53Z","76a05864d8b7e1ec015c55c15ccd36c9e781d875"
"291137","ohmyzsh/ohmyzsh","2009-08-28T18:15:37Z","? A delightful community-driven (with 1700+ contributors) framework for managing your zsh configuration. Includes 200+ optional plugins (rails, git, OSX, hub, capistrano, brew, ant, php, python, etc), over 140 themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.","Shell","2019-05-17T03:54:54Z","dfb060f8cfddffbb9700bd6106d25a5c5be0b88f","2020-02-11T01:56:48Z","beab76edfce3500b2fb357c69f3d4fb2a17898fe"
"308770","heartcombo/devise","2009-09-16T12:15:12Z","Flexible authentication solution for Rails with Warden.","Ruby","2017-11-23T04:39:01Z","e61f4bae40b0fdeb2fadc51d7433c301db86f6a9","",""
"312262","philc/vimium","2009-09-20T07:08:19Z","The hacker's browser.","JavaScript","2019-12-11T15:19:42Z","0cfb95365ac5270299ff230206799e7290f36ca3","2019-12-11T18:35:19Z","0e3089e4a1bb2e87d08065aff9558313431c87a3"
